GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,SelectPieceBullpenController,56,87,12,2,11,22,9,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,BullpenController,27,33,3,1,7,10,4,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,ExitTestLevelWindowController,15,13,0,0,6,5,3,1,3,1
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,ResetLevelController,49,105,2,2,12,25,4,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,LosingScreenController,16,0,0,0,7,0,2,0,2,0
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,SelectLevelController,20,114,2,2,6,27,4,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller.moves,IncrementPieceBuilderMove,2,18,1,1,1,7,1,3,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller.moves,BuilderMove,0,3,0,0,0,1,0,1,0,1
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller.moves,ChangeScreenBuilderMove,0,27,0,4,0,10,0,5,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller.moves,LevelModeBuilderMove,10,74,8,16,4,20,8,7,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,PlayLevelPanel,608,645,40,10,129,122,36,22,14,19
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,MainMenu,0,82,0,0,0,15,0,2,0,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,BoardView,33,302,6,12,10,46,6,9,0,5
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,BullpenView,17,374,1,9,4,57,2,10,1,6
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,PlayLevelPanel.new ActionListener() {...},32,6,2,0,7,2,2,1,1,1
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,LevelSelectPanel,62,392,2,12,6,53,2,8,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,JLabelIcon,25,140,0,0,9,34,5,8,5,8
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,TopLevelApplication,0,71,0,0,0,19,0,4,0,4
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,ErrorDialogBox,9,0,0,0,3,0,2,0,2,0
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,ZoomPanel,0,36,0,0,0,10,0,2,0,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,SplashWindow,152,11,11,1,35,5,7,1,1,1
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,PieceView,17,309,1,17,4,48,3,13,2,5
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Tile,0,116,0,14,0,39,0,22,0,15
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,PuzzleBoard,5,176,1,23,3,23,1,16,0,5
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Level,22,64,0,2,6,22,2,13,2,12
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,PuzzleLevel,28,80,6,4,2,21,5,14,1,13
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Builder,312,667,40,36,58,140,30,32,6,18
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,ReleaseLevel,2,84,2,4,0,21,2,14,0,13
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Board,135,481,19,61,28,83,14,45,3,16
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Kabasuji,132,231,18,18,29,62,17,14,3,10
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Screen,3,0,0,0,1,0,1,0,1,0
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Piece,5,289,1,31,2,44,1,25,0,10
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Bullpen,8,52,1,3,1,15,1,9,0,8
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,ReleaseBoard,0,191,1,29,0,39,1,17,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,LightningBoard,6,187,1,19,3,37,1,12,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,LightningLevel,5,88,3,3,0,23,2,15,0,14
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderLevelMode,0,327,0,6,0,46,0,10,0,7
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderReleaseLevelPanel,18,1762,5,20,6,240,6,25,1,15
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,TopLevelApplicationBuilder,0,75,0,0,0,21,0,4,0,4
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderBoardView,64,277,3,7,9,37,3,6,0,4
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,ErrorDialogBox,9,0,0,0,3,0,2,0,2,0
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderReleaseBoardView,322,355,19,9,40,60,11,14,0,11
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderPuzzleLevelPanel,8,939,1,17,1,137,1,19,0,11
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderLevelSelect,8,325,2,6,2,42,2,5,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderLightningLevelPanel,15,926,1,17,3,136,2,18,1,10
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderMainMenu,0,196,0,4,0,27,0,5,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder,LBMain,3,34,0,2,1,8,1,2,1,1
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",misc,MusicPlayer,7,54,0,0,2,14,1,2,1,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,LightningLevelTest,0,697,0,0,0,80,0,3,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BoardReleaseTest,1,1454,0,0,1,155,1,2,1,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BullpenTest,0,84,0,0,0,15,0,3,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BuilderTest,0,5,0,0,0,3,0,3,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,PieceTest,0,209,0,8,0,30,0,7,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,LevelTest,0,729,0,4,0,85,0,5,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BoardLightningTest,1,685,0,0,1,68,1,2,1,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,ReleaseLevelTest,0,1050,0,0,0,120,0,4,0,4
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,TileTest,0,265,0,0,0,47,0,3,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,PuzzleLevelTest,0,764,0,0,0,97,0,3,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BoardPuzzleTest,0,886,0,0,0,108,0,3,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BoardTest,0,352,0,0,0,36,0,3,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.testUtilities,TestCaseHelper,53,51,0,0,14,15,4,4,4,4
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.controllerTests,TestMains,1,37,0,0,1,7,1,4,1,4
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.controllerTests,TestKabasuji,18,379,1,1,6,95,1,7,0,7
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.controllerTests,TestBuilder,267,1983,0,6,89,498,0,11,0,8
