GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,BullpenController,60,0,4,0,17,0,6,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller.moves,IncrementPieceBuilderMove,20,0,2,0,8,0,4,0,3,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller.moves,BuilderHintTileMove,32,0,4,0,12,0,5,0,3,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller.moves,BuilderSelectTileMove,32,0,4,0,12,0,5,0,3,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller.moves,ChangeScreenBuilderMove,4,23,2,2,2,8,2,3,0,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller.moves,LevelModeBuilderMove,84,0,24,0,24,0,15,0,3,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller.moves,BuilderSelectLevelMove,59,0,6,0,11,0,6,0,3,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller.moves,BuilderMove,0,3,0,0,0,1,0,1,0,1
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,BoardView,349,0,18,0,58,0,15,0,5,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,SplashWindow,152,11,11,1,35,5,7,1,1,1
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,BullpenView,309,0,6,0,46,0,9,0,6,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,PlayLevelPanel.new ActionListener() {...},38,0,2,0,9,0,3,0,2,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,LevelSelectPanel,445,0,14,0,58,0,9,0,2,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,JLabelIcon,85,80,0,0,22,21,7,6,7,6
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,ZoomPanel,36,0,0,0,10,0,2,0,2,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,MainMenu,82,0,0,0,15,0,2,0,2,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,ErrorDialogBox,9,0,0,0,3,0,2,0,2,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,PlayLevelPanel,1147,0,34,0,221,0,40,0,23,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,PieceView,323,0,18,0,51,0,15,0,6,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.view,TopLevelApplication,71,0,0,0,19,0,4,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Builder,685,91,52,0,140,26,46,3,20,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,LightningBoard,6,187,1,19,3,37,1,12,0,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,ReleaseLevel,24,62,2,4,4,17,4,12,2,11
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,PuzzleBoard,134,47,20,4,19,7,13,4,3,2
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Kabasuji,357,0,34,0,90,0,30,0,13,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Screen,3,0,0,0,1,0,1,0,1,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Board,326,290,41,39,62,49,34,25,9,10
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,ReleaseBoard,144,47,26,4,32,7,14,4,1,2
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,PuzzleLevel,46,62,6,4,5,18,6,13,2,12
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Tile,12,104,4,10,5,34,3,19,1,14
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Bullpen,25,35,2,2,5,11,3,7,2,6
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,LightningLevel,23,70,3,3,3,20,3,14,1,13
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Level,22,64,0,2,6,22,2,13,2,12
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.model,Piece,10,284,3,29,3,43,4,22,1,9
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderLightningLevelPanel,903,0,18,0,134,0,16,0,7,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,ErrorDialogBox,9,0,0,0,3,0,2,0,2,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderReleaseBoardView,587,0,28,0,84,0,24,0,10,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderReleaseLevelPanel,1604,0,18,0,224,0,19,0,10,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderMainMenu,5,191,0,4,1,26,1,4,1,2
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderLevelMode,21,301,0,6,5,39,5,4,5,1
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,TopLevelApplicationBuilder,0,75,0,0,0,21,0,4,0,4
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderLevelSelect,333,0,8,0,44,0,7,0,3,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderBoardView,304,0,10,0,44,0,9,0,4,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.view,BuilderPuzzleLevelPanel,907,0,18,0,133,0,16,0,7,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder,LBMain,37,0,2,0,9,0,3,0,2,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/src",misc,MusicPlayer,58,0,0,0,15,0,2,0,2,0
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,ReleaseLevelTest,27,1023,0,0,7,113,0,4,0,4
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BullpenTest,0,84,0,0,0,15,0,3,0,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BoardLightningTest,79,625,0,0,16,56,1,2,1,2
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BoardPuzzleTest,238,696,0,0,52,64,0,3,0,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,LevelTest,0,729,0,4,0,85,0,5,0,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,PuzzleLevelTest,0,764,0,0,0,97,0,3,0,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BoardReleaseTest,198,1281,0,0,47,113,1,2,1,2
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,TileTest,0,265,0,0,0,47,0,3,0,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,PieceTest,0,209,0,8,0,30,0,7,0,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BoardTest,0,352,0,0,0,36,0,3,0,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,LightningLevelTest,0,697,0,0,0,80,0,3,0,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.modelTests,BuilderTest,0,5,0,0,0,3,0,3,0,3
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.testUtilities,TestCaseHelper,56,17,0,0,16,5,4,2,4,2
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.controllerTests,TestBuilder,40,84,0,0,11,34,0,19,0,19
"tests (1) (May 3, 2016 6:59:57 PM)/CS3733_D16_Idomeneus_Kabasuji/tests",kabasuji.controllerTests,TestKabasuji,27,13,0,0,8,11,2,11,2,11
